Element,x (m),N (N),V (N),M (N·m)
1,0.25,-13748.4,35323.2,-20287.8
1,0.525,-13748.4,31748.2,-11065.5
1,0.8,-13748.4,28173.2,-2826.27
1,1.075,-13748.4,24598.2,4429.79
1,1.35,-13748.4,21023.2,10702.7
1,1.625,-13748.4,17448.2,15992.5
1,1.9,-13748.4,13873.2,20299.2
1,2.175,-13748.4,10298.2,23622.8
1,2.45,-13748.4,6723.19,25963.2
1,2.725,-13748.4,3148.19,27320.6
1,3,-13748.4,-426.814,27694.7
1,3.275,-13748.4,-4001.81,27085.8
1,3.55,-13748.4,-7576.81,25493.7
1,3.825,-13748.4,-11151.8,22918.6
1,4.1,-13748.4,-14726.8,19360.2
1,4.375,-13748.4,-18301.8,14818.8
1,4.65,-13748.4,-21876.8,9294.25
1,4.925,-13748.4,-25451.8,2786.56
1,5.2,-13748.4,-29026.8,-4704.25
1,5.475,-13748.4,-32601.8,-13178.2
1,5.75,-13748.4,-36176.8,-22635.3
2,0,-38573.2,-10748.4,13468.6
2,0.2,-38573.2,-10748.4,11319
2,0.4,-38573.2,-10748.4,9169.3
2,0.6,-38573.2,-10748.4,7019.63
2,0.8,-38573.2,-10748.4,4869.95
2,1,-38573.2,-10748.4,2720.28
2,1.2,-38573.2,-10748.4,570.608
2,1.4,-38573.2,-10748.4,-1579.06
2,1.6,-38573.2,-10748.4,-3728.74
2,1.8,-38573.2,-10748.4,-5878.41
2,2,-38573.2,-10748.4,-8028.08
2,2.2,-38573.2,-10748.4,-10177.8
2,2.4,-38573.2,-10748.4,-12327.4
2,2.6,-38573.2,-10748.4,-14477.1
2,2.8,-38573.2,-10748.4,-16626.8
2,3,-38573.2,-10748.4,-18776.5
2,3.2,-38573.2,-10748.4,-20926.1
2,3.4,-38573.2,-10748.4,-23075.8
2,3.6,-38573.2,-10748.4,-25225.5
2,3.8,-38573.2,-10748.4,-27375.1
2,4,-38573.2,-10748.4,-29524.8
3,0,1762.67,,
3,0.360555,1762.67,,
3,0.72111,1762.67,,
3,1.08167,1762.67,,
3,1.44222,1762.67,,
3,1.80278,1762.67,,
3,2.16333,1762.67,,
3,2.52389,1762.67,,
3,2.88444,1762.67,,
3,3.245,1762.67,,
3,3.60555,1762.67,,
3,3.96611,1762.67,,
3,4.32666,1762.67,,
3,4.68722,1762.67,,
3,5.04777,1762.67,,
3,5.40833,1762.67,,
3,5.76888,1762.67,,
3,6.12944,1762.67,,
3,6.48999,1762.67,,
3,6.85055,1762.67,,
3,7.2111,1762.67,,
4,0,-40404.6,12281.7,-17041.2
4,0.2,-40404.6,12281.7,-14584.9
4,0.4,-40404.6,12281.7,-12128.5
4,0.6,-40404.6,12281.7,-9672.2
4,0.8,-40404.6,12281.7,-7215.85
4,1,-40404.6,12281.7,-4759.5
4,1.2,-40404.6,12281.7,-2303.16
4,1.4,-40404.6,12281.7,153.192
4,1.6,-40404.6,12281.7,2609.54
4,1.8,-40404.6,12281.7,5065.89
4,2,-40404.6,12281.7,7522.23
4,2.2,-40404.6,12281.7,9978.58
4,2.4,-40404.6,12281.7,12434.9
4,2.6,-40404.6,12281.7,14891.3
4,2.8,-40404.6,12281.7,17347.6
4,3,-40404.6,12281.7,19804
4,3.2,-40404.6,12281.7,22260.3
4,3.4,-40404.6,12281.7,24716.7
4,3.6,-40404.6,12281.7,27173
4,3.8,-40404.6,12281.7,29629.4
4,4,-40404.6,12281.7,32085.7
